date,flu,isPartial
2018-12-09,6,False
2018-12-16,11,False
2018-12-23,9,False
2018-12-30,34,False
2019-01-06,64,False
2019-01-13,67,False
2019-01-20,100,False
2019-01-27,94,False
2019-02-03,79,False
2019-02-10,86,False
2019-02-17,55,False
2019-02-24,36,False
2019-03-03,20,False
2019-03-10,20,False
2019-03-17,19,False
2019-03-24,9,False
2019-03-31,8,False
2019-04-07,8,False
2019-04-14,9,False
2019-04-21,8,False
2019-04-28,5,False
2019-05-05,7,False
2019-05-12,5,False
2019-05-19,8,False
2019-05-26,6,False
2019-06-02,2,False
2019-06-09,5,False
2019-06-16,7,False
2019-06-23,6,False
2019-06-30,5,False
2019-07-07,8,False
2019-07-14,5,False
2019-07-21,10,False
2019-07-28,10,False
2019-08-04,9,False
2019-08-11,9,False
2019-08-18,11,False
2019-08-25,8,False
2019-09-01,16,False
2019-09-08,14,False
2019-09-15,6,False
2019-09-22,12,True
