date,flu,isPartial
2018-12-09,5,False
2018-12-16,13,False
2018-12-23,20,False
2018-12-30,28,False
2019-01-06,8,False
2019-01-13,43,False
2019-01-20,41,False
2019-01-27,32,False
2019-02-03,42,False
2019-02-10,82,False
2019-02-17,100,False
2019-02-24,74,False
2019-03-03,53,False
2019-03-10,45,False
2019-03-17,31,False
2019-03-24,10,False
2019-03-31,10,False
2019-04-07,8,False
2019-04-14,5,False
2019-04-21,10,False
2019-04-28,15,False
2019-05-05,15,False
2019-05-12,9,False
2019-05-19,4,False
2019-05-26,14,False
2019-06-02,5,False
2019-06-09,4,False
2019-06-16,4,False
2019-06-23,13,False
2019-06-30,9,False
2019-07-07,9,False
2019-07-14,7,False
2019-07-21,7,False
2019-07-28,7,False
2019-08-04,14,False
2019-08-11,10,False
2019-08-18,5,False
2019-08-25,9,False
2019-09-01,14,False
2019-09-08,9,False
2019-09-15,9,False
2019-09-22,16,True
