date,flu,isPartial
2012-01-01,0,False
2012-01-08,95,False
2012-01-15,100,False
2012-01-22,0,False
2012-01-29,0,False
2012-02-05,0,False
2012-02-12,0,False
2012-02-19,0,False
2012-02-26,0,False
2012-03-04,0,False
2012-03-11,0,False
2012-03-18,81,False
2012-03-25,87,False
2012-04-01,0,False
2012-04-08,71,False
2012-04-15,0,False
2012-04-22,0,False
2012-04-29,0,False
2012-05-06,0,False
2012-05-13,0,False
2012-05-20,0,False
2012-05-27,0,False
2012-06-03,0,False
2012-06-10,0,False
2012-06-17,96,False
2012-06-24,0,False
2012-07-01,0,False
2012-07-08,89,False
2012-07-15,0,False
2012-07-22,0,False
2012-07-29,0,False
2012-08-05,0,False
2012-08-12,0,False
2012-08-19,0,False
2012-08-26,70,False
2012-09-02,0,False
2012-09-09,0,False
2012-09-16,18,False
2012-09-23,25,False
2012-09-30,0,False
2012-10-07,0,False
2012-10-14,17,False
2012-10-21,0,False
2012-10-28,33,False
2012-11-04,0,False
2012-11-11,16,False
2012-11-18,18,False
2012-11-25,12,False
2012-12-02,14,False
2012-12-09,15,False
2012-12-16,0,False
2012-12-23,20,False
2012-12-30,0,False
2013-01-06,31,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,46,False
2013-02-10,38,False
2013-02-17,52,False
2013-02-24,0,False
2013-03-03,52,False
2013-03-10,40,False
2013-03-17,0,False
2013-03-24,37,False
2013-03-31,0,False
2013-04-07,36,False
2013-04-14,59,False
2013-04-21,28,False
2013-04-28,24,False
2013-05-05,40,False
2013-05-12,64,False
2013-05-19,0,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,0,False
2013-06-16,0,False
2013-06-23,0,False
2013-06-30,0,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,0,False
2013-08-04,74,False
2013-08-11,0,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,0,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,0,False
2013-10-13,100,False
2013-10-20,0,False
2013-10-27,0,False
2013-11-03,61,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,42,False
2013-12-01,0,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,0,False
2014-01-12,45,False
2014-01-19,0,False
2014-01-26,46,False
2014-02-02,51,False
2014-02-09,48,False
2014-02-16,44,False
2014-02-23,0,False
2014-03-02,0,False
2014-03-09,55,False
2014-03-16,0,False
2014-03-23,0,False
2014-03-30,0,False
2014-04-06,0,False
2014-04-13,0,False
2014-04-20,0,False
2014-04-27,0,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,55,False
2014-05-25,43,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,72,False
2014-07-06,0,False
2014-07-13,54,False
2014-07-20,53,False
2014-07-27,0,False
2014-08-03,0,False
2014-08-10,53,False
2014-08-17,52,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,52,False
2014-09-28,87,False
2014-10-05,50,False
2014-10-12,100,False
2014-10-19,0,False
2014-10-26,0,False
2014-11-02,0,False
2014-11-09,52,False
2014-11-16,0,False
2014-11-23,0,False
2014-11-30,52,False
2014-12-07,0,False
2014-12-14,39,False
2014-12-21,51,False
