date,flu,isPartial
2012-01-01,8,False
2012-01-08,13,False
2012-01-15,11,False
2012-01-22,7,False
2012-01-29,11,False
2012-02-05,8,False
2012-02-12,8,False
2012-02-19,7,False
2012-02-26,7,False
2012-03-04,3,False
2012-03-11,7,False
2012-03-18,8,False
2012-03-25,13,False
2012-04-01,98,False
2012-04-08,100,False
2012-04-15,57,False
2012-04-22,54,False
2012-04-29,38,False
2012-05-06,34,False
2012-05-13,30,False
2012-05-20,15,False
2012-05-27,16,False
2012-06-03,13,False
2012-06-10,10,False
2012-06-17,12,False
2012-06-24,7,False
2012-07-01,11,False
2012-07-08,9,False
2012-07-15,9,False
2012-07-22,8,False
2012-07-29,9,False
2012-08-05,6,False
2012-08-12,8,False
2012-08-19,5,False
2012-08-26,14,False
2012-09-02,12,False
2012-09-09,12,False
2012-09-16,5,False
2012-09-23,8,False
2012-09-30,10,False
2012-10-07,7,False
2012-10-14,8,False
2012-10-21,9,False
2012-10-28,16,False
2012-11-04,25,False
2012-11-11,14,False
2012-11-18,21,False
2012-11-25,7,False
2012-12-02,13,False
2012-12-09,6,False
2012-12-16,18,False
2012-12-23,8,False
2012-12-30,9,False
2013-01-06,54,False
2013-01-13,100,False
2013-01-20,61,False
2013-01-27,41,False
2013-02-03,35,False
2013-02-10,80,False
2013-02-17,42,False
2013-02-24,46,False
2013-03-03,61,False
2013-03-10,73,False
2013-03-17,47,False
2013-03-24,40,False
2013-03-31,52,False
2013-04-07,52,False
2013-04-14,77,False
2013-04-21,21,False
2013-04-28,64,False
2013-05-05,40,False
2013-05-12,60,False
2013-05-19,30,False
2013-05-26,24,False
2013-06-02,49,False
2013-06-09,30,False
2013-06-16,49,False
2013-06-23,19,False
2013-06-30,41,False
2013-07-07,50,False
2013-07-14,37,False
2013-07-21,32,False
2013-07-28,32,False
2013-08-04,36,False
2013-08-11,33,False
2013-08-18,33,False
2013-08-25,59,False
2013-09-01,26,False
2013-09-08,50,False
2013-09-15,33,False
2013-09-22,39,False
2013-09-29,60,False
2013-10-06,36,False
2013-10-13,57,False
2013-10-20,52,False
2013-10-27,48,False
2013-11-03,56,False
2013-11-10,32,False
2013-11-17,67,False
2013-11-24,35,False
2013-12-01,35,False
2013-12-08,60,False
2013-12-15,37,False
2013-12-22,51,False
2013-12-29,54,False
2014-01-05,21,False
2014-01-12,18,False
2014-01-19,22,False
2014-01-26,24,False
2014-02-02,9,False
2014-02-09,18,False
2014-02-16,12,False
2014-02-23,18,False
2014-03-02,16,False
2014-03-09,18,False
2014-03-16,33,False
2014-03-23,16,False
2014-03-30,11,False
2014-04-06,14,False
2014-04-13,8,False
2014-04-20,8,False
2014-04-27,23,False
2014-05-04,20,False
2014-05-11,11,False
2014-05-18,19,False
2014-05-25,10,False
2014-06-01,8,False
2014-06-08,12,False
2014-06-15,14,False
2014-06-22,12,False
2014-06-29,25,False
2014-07-06,23,False
2014-07-13,21,False
2014-07-20,26,False
2014-07-27,12,False
2014-08-03,24,False
2014-08-10,18,False
2014-08-17,29,False
2014-08-24,17,False
2014-08-31,19,False
2014-09-07,18,False
2014-09-14,9,False
2014-09-21,16,False
2014-09-28,16,False
2014-10-05,14,False
2014-10-12,16,False
2014-10-19,23,False
2014-10-26,31,False
2014-11-02,19,False
2014-11-09,30,False
2014-11-16,27,False
2014-11-23,85,False
2014-11-30,100,False
2014-12-07,96,False
2014-12-14,68,False
2014-12-21,61,False
2014-12-28,71,False
2015-01-04,5,False
2015-01-11,6,False
2015-01-18,21,False
2015-01-25,22,False
2015-02-01,30,False
2015-02-08,39,False
2015-02-15,90,False
2015-02-22,94,False
2015-03-01,100,False
2015-03-08,77,False
2015-03-15,42,False
2015-03-22,23,False
2015-03-29,16,False
2015-04-05,9,False
2015-04-12,8,False
2015-04-19,8,False
2015-04-26,7,False
2015-05-03,3,False
2015-05-10,6,False
2015-05-17,2,False
2015-05-24,5,False
2015-05-31,3,False
2015-06-07,4,False
2015-06-14,3,False
2015-06-21,3,False
2015-06-28,3,False
2015-07-05,1,False
2015-07-12,1,False
2015-07-19,4,False
2015-07-26,2,False
2015-08-02,3,False
2015-08-09,2,False
2015-08-16,3,False
2015-08-23,2,False
2015-08-30,3,False
2015-09-06,2,False
2015-09-13,2,False
2015-09-20,3,False
2015-09-27,3,False
2015-10-04,4,False
2015-10-11,4,False
2015-10-18,4,False
2015-10-25,4,False
2015-11-01,4,False
2015-11-08,4,False
2015-11-15,3,False
2015-11-22,6,False
2015-11-29,4,False
2015-12-06,4,False
2015-12-13,5,False
2015-12-20,5,False
2015-12-27,2,False
2016-01-03,83,False
2016-01-10,62,False
2016-01-17,54,False
2016-01-24,65,False
2016-01-31,67,False
2016-02-07,33,False
2016-02-14,35,False
2016-02-21,52,False
2016-02-28,66,False
2016-03-06,58,False
2016-03-13,64,False
2016-03-20,46,False
2016-03-27,29,False
2016-04-03,39,False
2016-04-10,50,False
2016-04-17,30,False
2016-04-24,40,False
2016-05-01,48,False
2016-05-08,68,False
2016-05-15,59,False
2016-05-22,41,False
2016-05-29,60,False
2016-06-05,69,False
2016-06-12,56,False
2016-06-19,59,False
2016-06-26,55,False
2016-07-03,79,False
2016-07-10,64,False
2016-07-17,32,False
2016-07-24,47,False
2016-07-31,50,False
2016-08-07,26,False
2016-08-14,27,False
2016-08-21,35,False
2016-08-28,78,False
2016-09-04,39,False
2016-09-11,36,False
2016-09-18,70,False
2016-09-25,45,False
2016-10-02,53,False
2016-10-09,53,False
2016-10-16,72,False
2016-10-23,88,False
2016-10-30,100,False
2016-11-06,97,False
2016-11-13,53,False
2016-11-20,70,False
2016-11-27,51,False
2016-12-04,40,False
2016-12-11,72,False
2016-12-18,79,False
2016-12-25,68,False
2017-01-01,8,False
2017-01-08,9,False
2017-01-15,13,False
2017-01-22,17,False
2017-01-29,58,False
2017-02-05,52,False
2017-02-12,67,False
2017-02-19,100,False
2017-02-26,92,False
2017-03-05,46,False
2017-03-12,29,False
2017-03-19,30,False
2017-03-26,15,False
2017-04-02,10,False
2017-04-09,10,False
2017-04-16,11,False
2017-04-23,9,False
2017-04-30,6,False
2017-05-07,7,False
2017-05-14,8,False
2017-05-21,5,False
2017-05-28,6,False
2017-06-04,5,False
2017-06-11,7,False
2017-06-18,5,False
2017-06-25,7,False
2017-07-02,8,False
2017-07-09,6,False
2017-07-16,5,False
2017-07-23,13,False
2017-07-30,13,False
2017-08-06,14,False
2017-08-13,12,False
2017-08-20,13,False
