date,flu,isPartial
2012-01-01,52,False
2012-01-08,51,False
2012-01-15,44,False
2012-01-22,100,False
2012-01-29,42,False
2012-02-05,44,False
2012-02-12,40,False
2012-02-19,0,False
2012-02-26,32,False
2012-03-04,38,False
2012-03-11,36,False
2012-03-18,50,False
2012-03-25,60,False
2012-04-01,59,False
2012-04-08,46,False
2012-04-15,86,False
2012-04-22,56,False
2012-04-29,62,False
2012-05-06,31,False
2012-05-13,0,False
2012-05-20,42,False
2012-05-27,20,False
2012-06-03,38,False
2012-06-10,41,False
2012-06-17,26,False
2012-06-24,24,False
2012-07-01,43,False
2012-07-08,24,False
2012-07-15,34,False
2012-07-22,24,False
2012-07-29,35,False
2012-08-05,22,False
2012-08-12,29,False
2012-08-19,39,False
2012-08-26,47,False
2012-09-02,27,False
2012-09-09,41,False
2012-09-16,24,False
2012-09-23,21,False
2012-09-30,28,False
2012-10-07,31,False
2012-10-14,86,False
2012-10-21,22,False
2012-10-28,42,False
2012-11-04,23,False
2012-11-11,42,False
2012-11-18,33,False
2012-11-25,20,False
2012-12-02,18,False
2012-12-09,24,False
2012-12-16,0,False
2012-12-23,22,False
2012-12-30,33,False
2013-01-06,12,False
2013-01-13,17,False
2013-01-20,20,False
2013-01-27,25,False
2013-02-03,73,False
2013-02-10,100,False
2013-02-17,62,False
2013-02-24,30,False
2013-03-03,23,False
2013-03-10,17,False
2013-03-17,21,False
2013-03-24,6,False
2013-03-31,8,False
2013-04-07,8,False
2013-04-14,9,False
2013-04-21,12,False
2013-04-28,0,False
2013-05-05,6,False
2013-05-12,0,False
2013-05-19,11,False
2013-05-26,5,False
2013-06-02,4,False
2013-06-09,5,False
2013-06-16,7,False
2013-06-23,11,False
2013-06-30,0,False
2013-07-07,22,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,19,False
2013-08-04,17,False
2013-08-11,18,False
2013-08-18,0,False
2013-08-25,17,False
2013-09-01,0,False
2013-09-08,51,False
2013-09-15,34,False
2013-09-22,35,False
2013-09-29,21,False
2013-10-06,0,False
2013-10-13,0,False
2013-10-20,21,False
2013-10-27,21,False
2013-11-03,21,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,18,False
2013-12-01,17,False
2013-12-08,12,False
2013-12-15,6,False
2013-12-22,7,False
2013-12-29,7,False
2014-01-05,7,False
2014-01-12,7,False
2014-01-19,6,False
2014-01-26,15,False
2014-02-02,7,False
2014-02-09,6,False
2014-02-16,9,False
2014-02-23,18,False
2014-03-02,18,False
2014-03-09,12,False
2014-03-16,6,False
2014-03-23,5,False
2014-03-30,6,False
2014-04-06,0,False
2014-04-13,7,False
2014-04-20,10,False
2014-04-27,10,False
2014-05-04,14,False
2014-05-11,12,False
2014-05-18,6,False
2014-05-25,0,False
2014-06-01,6,False
2014-06-08,6,False
2014-06-15,7,False
2014-06-22,0,False
2014-06-29,7,False
2014-07-06,10,False
2014-07-13,11,False
2014-07-20,11,False
2014-07-27,8,False
2014-08-03,6,False
2014-08-10,12,False
2014-08-17,6,False
2014-08-24,11,False
2014-08-31,6,False
2014-09-07,6,False
2014-09-14,15,False
2014-09-21,12,False
2014-09-28,6,False
2014-10-05,23,False
2014-10-12,9,False
2014-10-19,6,False
2014-10-26,0,False
2014-11-02,6,False
2014-11-09,6,False
2014-11-16,11,False
2014-11-23,11,False
2014-11-30,11,False
2014-12-07,11,False
2014-12-14,84,False
2014-12-21,100,False
2014-12-28,68,False
2015-01-04,6,False
2015-01-11,4,False
2015-01-18,6,False
2015-01-25,7,False
2015-02-01,29,False
2015-02-08,39,False
2015-02-15,100,False
2015-02-22,85,False
2015-03-01,68,False
2015-03-08,32,False
2015-03-15,14,False
2015-03-22,8,False
2015-03-29,4,False
2015-04-05,3,False
2015-04-12,2,False
2015-04-19,3,False
2015-04-26,2,False
2015-05-03,3,False
2015-05-10,3,False
2015-05-17,2,False
2015-05-24,1,False
2015-05-31,2,False
2015-06-07,1,False
2015-06-14,1,False
2015-06-21,1,False
2015-06-28,2,False
2015-07-05,2,False
2015-07-12,1,False
2015-07-19,1,False
2015-07-26,1,False
2015-08-02,1,False
2015-08-09,1,False
2015-08-16,1,False
2015-08-23,1,False
2015-08-30,1,False
2015-09-06,2,False
2015-09-13,2,False
