date,flu,isPartial
2018-12-09,0,False
2018-12-16,58,False
2018-12-23,64,False
2018-12-30,0,False
2019-01-06,59,False
2019-01-13,0,False
2019-01-20,52,False
2019-01-27,53,False
2019-02-03,51,False
2019-02-10,50,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,50,False
2019-03-10,100,False
2019-03-17,0,False
2019-03-24,47,False
2019-03-31,47,False
2019-04-07,48,False
2019-04-14,47,False
2019-04-21,0,False
2019-04-28,43,False
2019-05-05,45,False
2019-05-12,70,False
2019-05-19,62,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,55,False
2019-06-16,63,False
2019-06-23,40,False
2019-06-30,79,False
2019-07-07,39,False
2019-07-14,40,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,84,False
2019-08-11,42,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,40,False
2019-09-08,39,False
2019-09-15,0,False
2019-09-22,38,False
2019-09-29,38,False
2019-10-06,38,False
2019-10-13,37,False
2019-10-20,36,False
2019-10-27,0,True
