date,flu,isPartial
2012-01-01,19,False
2012-01-08,24,False
2012-01-15,20,False
2012-01-22,19,False
2012-01-29,24,False
2012-02-05,13,False
2012-02-12,43,False
2012-02-19,35,False
2012-02-26,14,False
2012-03-04,20,False
2012-03-11,27,False
2012-03-18,61,False
2012-03-25,51,False
2012-04-01,45,False
2012-04-08,100,False
2012-04-15,27,False
2012-04-22,32,False
2012-04-29,16,False
2012-05-06,17,False
2012-05-13,11,False
2012-05-20,10,False
2012-05-27,10,False
2012-06-03,10,False
2012-06-10,10,False
2012-06-17,19,False
2012-06-24,34,False
2012-07-01,29,False
2012-07-08,14,False
2012-07-15,15,False
2012-07-22,12,False
2012-07-29,15,False
2012-08-05,12,False
2012-08-12,22,False
2012-08-19,25,False
2012-08-26,28,False
2012-09-02,16,False
2012-09-09,69,False
2012-09-16,25,False
2012-09-23,28,False
2012-09-30,31,False
2012-10-07,21,False
2012-10-14,22,False
2012-10-21,38,False
2012-10-28,35,False
2012-11-04,32,False
2012-11-11,24,False
2012-11-18,14,False
2012-11-25,9,False
2012-12-02,10,False
2012-12-09,19,False
2012-12-16,16,False
2012-12-23,15,False
2012-12-30,29,False
2013-01-06,18,False
2013-01-13,16,False
2013-01-20,20,False
2013-01-27,18,False
2013-02-03,48,False
2013-02-10,80,False
2013-02-17,100,False
2013-02-24,93,False
2013-03-03,86,False
2013-03-10,82,False
2013-03-17,70,False
2013-03-24,54,False
2013-03-31,29,False
2013-04-07,32,False
2013-04-14,12,False
2013-04-21,19,False
2013-04-28,10,False
2013-05-05,22,False
2013-05-12,12,False
2013-05-19,18,False
2013-05-26,9,False
2013-06-02,17,False
2013-06-09,8,False
2013-06-16,6,False
2013-06-23,10,False
2013-06-30,10,False
2013-07-07,12,False
2013-07-14,14,False
2013-07-21,10,False
2013-07-28,14,False
2013-08-04,15,False
2013-08-11,21,False
2013-08-18,8,False
2013-08-25,10,False
2013-09-01,19,False
2013-09-08,6,False
2013-09-15,0,False
2013-09-22,12,False
2013-09-29,12,False
2013-10-06,6,False
2013-10-13,11,False
2013-10-20,6,False
2013-10-27,10,False
2013-11-03,0,False
2013-11-10,9,False
2013-11-17,6,False
2013-11-24,14,False
2013-12-01,9,False
2013-12-08,9,False
2013-12-15,10,False
2013-12-22,8,False
2013-12-29,9,False
2014-01-05,38,False
2014-01-12,45,False
2014-01-19,20,False
2014-01-26,20,False
2014-02-02,23,False
2014-02-09,19,False
2014-02-16,49,False
2014-02-23,96,False
2014-03-02,39,False
2014-03-09,40,False
2014-03-16,0,False
2014-03-23,29,False
2014-03-30,29,False
2014-04-06,0,False
2014-04-13,31,False
2014-04-20,54,False
2014-04-27,22,False
2014-05-04,33,False
2014-05-11,35,False
2014-05-18,52,False
2014-05-25,50,False
2014-06-01,24,False
2014-06-08,24,False
2014-06-15,60,False
2014-06-22,48,False
2014-06-29,36,False
2014-07-06,22,False
2014-07-13,52,False
2014-07-20,41,False
2014-07-27,30,False
2014-08-03,32,False
2014-08-10,62,False
2014-08-17,51,False
2014-08-24,30,False
2014-08-31,100,False
2014-09-07,0,False
2014-09-14,29,False
2014-09-21,68,False
2014-09-28,21,False
2014-10-05,38,False
2014-10-12,29,False
2014-10-19,46,False
2014-10-26,40,False
2014-11-02,47,False
2014-11-09,57,False
2014-11-16,19,False
2014-11-23,20,False
2014-11-30,51,False
2014-12-07,79,False
2014-12-14,69,False
2014-12-21,38,False
2014-12-28,47,False
2015-01-04,2,False
2015-01-11,2,False
2015-01-18,9,False
2015-01-25,14,False
2015-02-01,48,False
2015-02-08,69,False
2015-02-15,100,False
2015-02-22,94,False
2015-03-01,72,False
2015-03-08,31,False
2015-03-15,15,False
2015-03-22,8,False
2015-03-29,4,False
2015-04-05,4,False
2015-04-12,4,False
2015-04-19,3,False
2015-04-26,2,False
2015-05-03,2,False
2015-05-10,1,False
2015-05-17,2,False
2015-05-24,2,False
2015-05-31,2,False
2015-06-07,1,False
2015-06-14,1,False
2015-06-21,1,False
2015-06-28,2,False
2015-07-05,1,False
2015-07-12,1,False
2015-07-19,1,False
2015-07-26,1,False
2015-08-02,2,False
2015-08-09,2,False
2015-08-16,1,False
2015-08-23,1,False
2015-08-30,3,False
2015-09-06,5,False
2015-09-13,4,False
2015-09-20,6,False
2015-09-27,5,False
2015-10-04,3,False
2015-10-11,2,False
2015-10-18,3,False
2015-10-25,3,False
2015-11-01,2,False
2015-11-08,2,False
2015-11-15,2,False
2015-11-22,1,False
2015-11-29,1,False
2015-12-06,1,False
2015-12-13,1,False
2015-12-20,2,False
2015-12-27,2,False
2016-01-03,48,False
2016-01-10,67,False
2016-01-17,55,False
2016-01-24,42,False
2016-01-31,39,False
2016-02-07,55,False
2016-02-14,92,False
2016-02-21,100,False
2016-02-28,65,False
2016-03-06,85,False
2016-03-13,40,False
2016-03-20,36,False
2016-03-27,34,False
2016-04-03,26,False
2016-04-10,36,False
2016-04-17,30,False
2016-04-24,28,False
2016-05-01,32,False
2016-05-08,25,False
2016-05-15,18,False
2016-05-22,19,False
2016-05-29,15,False
2016-06-05,19,False
2016-06-12,37,False
2016-06-19,32,False
2016-06-26,50,False
2016-07-03,24,False
2016-07-10,40,False
2016-07-17,45,False
2016-07-24,42,False
2016-07-31,36,False
2016-08-07,33,False
2016-08-14,42,False
2016-08-21,27,False
2016-08-28,51,False
2016-09-04,22,False
2016-09-11,43,False
2016-09-18,44,False
2016-09-25,42,False
2016-10-02,37,False
2016-10-09,43,False
2016-10-16,32,False
2016-10-23,55,False
2016-10-30,50,False
2016-11-06,21,False
2016-11-13,24,False
2016-11-20,39,False
2016-11-27,21,False
2016-12-04,15,False
2016-12-11,31,False
2016-12-18,31,False
2016-12-25,23,False
2017-01-01,16,False
2017-01-08,23,False
2017-01-15,17,False
2017-01-22,9,False
2017-01-29,6,False
2017-02-05,6,False
2017-02-12,3,False
